52 3 40 9 39
68 24 40 9 37
62 3 54 9 45
51 3 40 9 38
54 4 42 9 41
49 2 41 9 37
50 3 41 9 36
51 3 42 9 37
61 3 54 9 37
83 3 75 9 42
66 4 42 10 52
50 3 41 9 37
50 3 40 9 36
67 4 41 9 36
57 3 50 8 40
76 3 41 24 48
77 4 42 28 46
124 50 47 78 42
52 3 41 9 36
80 3 46 29 48
49 3 39 8 36
48 3 40 8 36
49 3 41 8 36
50 3 43 9 36
50 3 40 9 37
52 3 44 9 36
49 3 38 9 37
58 3 52 8 36
79 3 71 8 40
66 3 49 8 55
52 3 40 8 40
49 4 41 8 36
61 3 53 9 37
54 3 41 9 42
57 12 40 8 36
56 3 49 8 39
51 3 43 9 38
64 4 56 9 36
